Average User Rating,User Rating Count,Price,Primary Genre,Genres,,,,,,,,,,,,,
2.5,79,2.99,Games,"Games, Simulation, Strategy, Entertainment",,,,,,,,,,,,,
2,697,0,Games,"Games, Action, Strategy",,,,,,,,,,,,,
4,2987,1.99,Games,"Games, Card, Entertainment, Strategy",,,,,,,,,,,,,
3,85,1.99,Games,"Games, Strategy, Action",,,,,,,,,,,,,
3.5,2217,0,Games,"Games, Entertainment, Strategy, Simulation",,,,,,,,,,,,,
4,129759,0,Games,"Games, Simulation, Entertainment, Strategy",,,,,,,,,,,,,
,,0.99,Games,"Games, Board, Strategy",,,,,,,,,,,,,
2.5,132,0.99,Games,"Games, Entertainment, Family, Strategy",,,,,,,,,,,,,
,,0.99,Games,"Games, Strategy, Board, Entertainment",,,,,,,,,,,,,
4.5,3344,0.99,Games,"Games, Card, Entertainment, Strategy",,,,,,,,,,,,,
3.5,5,0.99,Games,"Games, Puzzle, Entertainment, Strategy",,,,,,,,,,,,,
3.5,45,0,Games,"Games, Strategy, Board",,,,,,,,,,,,,
4,15,3.99,Games,"Games, Strategy, Board, Entertainment",,,,,,,,,,,,,
4,16293,0,Games,"Games, Board, Strategy, Entertainment",,,,,,,,,,,,,
2.5,387,0,Games,"Games, Simulation, Utilities, Strategy",,,,,,,,,,,,,
1.5,7,0.99,Games,"Games, Puzzle, Strategy",,,,,,,,,,,,,
3,705,0,Games,"Games, Simulation, Entertainment, Strategy",,,,,,,,,,,,,
3,3813,0,Entertainment,"Entertainment, Games, Strategy, Trivia",,,,,,,,,,,,,
4.5,18279,4.99,Games,"Games, Action, Strategy",,,,,,,,,,,,,
3,136,0,Games,"Games, Entertainment, Strategy, Puzzle",,,,,,,,,,,,,
3,156,0,Games,"Games, Entertainment, Simulation, Strategy",,,,,,,,,,,,,
3,37299,0,Games,"Games, Role Playing, Entertainment, Strategy",,,,,,,,,,,,,
4,978,0.99,Games,"Games, Strategy, Action, Entertainment",,,,,,,,,,,,,
3,39,0.99,Games,"Games, Puzzle, Strategy, Education",,,,,,,,,,,,,
2,35,0.99,Games,"Games, Strategy, Entertainment, Puzzle",,,,,,,,,,,,,
3.5,449,0,Games,"Games, Entertainment, Simulation, Strategy",,,,,,,,,,,,,
3.5,113,0.99,Games,"Games, Board, Strategy",,,,,,,,,,,,,
4,5326,7.99,Games,"Games, Board, Entertainment, Strategy",,,,,,,,,,,,,
